Weshalb schwimmt Hexan auf dem Wasser?,40,Wegen der geringen Dichte,wegen der Oberflächenspannung des Wassers,Wegen den vielen Van-der-Wals-Kräften,Wegen der fehlenden Wasserstoffbrücken
Was sind die Maximalen Oxidationsstufen des Kohlenstoffsatoms?,80,-IV +IV,-III +III,-IV,-II +II
Welche Aussage ist richtig?,100,Paraffin ist ein Gemisch langkettiger Alkane,Paraffin ist ein Protein zur Spaltung von Alkanen,Paraffin ist eine Verbindung langkettiger Alkene,Paraffin ist eine Verbindung langkettiger Alkane
Welcher Kohlenwasserstoff ist im Erdgas der häufigste?,20,Mehan,Oktan,Butan,Ethan
Wer produziert auf der Erde das meiste Methan?,10,Bakterien,Wiederkäuer,Der Mensch durch den Bergbau,Der Mensch durch die Erdölindustrie
Welcher Kohlenwasserstoff ist am besten wasserlöslich?,60,Methan,Dodekan,2-Methyl-Butan,Oktan
Bei der radikalischen Substitution von 2-Methyl-Hexan mit Chlor entsteht ...,80,zunächst ein Halogenalkan,ein FCKW,eine aromatische Chlorverbindung,ein Halogenalken
Methanhydrat ist ...,50,ein Methan-Wasser-Komplex,eine Methan-Sauerstoff-Verbindung,eine Methan-Wasser-Verbindung,eine Methan-Wasserstoff-Verbindung
Das Leichteste Atom ist...,5,Helium,Sauerstoff,Kohlenstoff,Gold
Wie alt sind die Erdöllager dieser Welt ungefähr?,45,ca 300 Millionen Jahre,ca 50 Millionen Jahre,200 000 Jahre,5 Millionen Jahre
Im Diamant ist der Kohlenstoff ...,75,sp hybridisiert,sp2 hybridisiert,sp 3 hybridisiert,nicht hybridisiert
Bei einer Zink/Kupferzelle?,40,Zink oxidiert und Kupfer reduziert,Zink reduziert und Kupfer oxidiert,wird die Zinkelektrode verkupfert,geht Kupfer in Lösung
Die Bindungswinkel im sp2-hybridisierten C-Atom sind:,65,120,104.5,109.4
Was ist keine Stoffeigenschaft?,10,Form,Dichte,Schmelztemperatur,Farbe
Wer entdeckte beim Baden in der Badewanne die Dichte?,40,Archimedes,Sokrates,Plato,Galileo Galilei
Die Einheit der Dichte ist,15,g/cm3,kg/m,mg/cm2,g/cm.
Welches der folgenden Metalle ist kein Reinstoff?,30,Messing,Silber,Aluminium,Gold
Welche Aussage trifft nicht auf die kleinsten Teilchen zu?,70,Zwischen ihnen herrschen keine Anziehungskräfte,Aus ihnen bestehen alle Stoffe.,Sie befinden sich in ständiger Bewegung.,Zwischen ihnen ist leerer Raum.
Ein Gemisch ist heterogen<K> wenn,80,sich seine Bestandteile noch mit dem Auge oder dem Mikroskop voneinander unterscheiden lassen.,es aus mindestens zwei verschiedenen Stoffen besteht.,es ein Feststoff ist.,man es nicht mehr trennen kann.
Was ist eine Suspension?,15,Feststoff in Flüssigkeit,Feststoff in Feststoff,Gas in Flüssigkeit,d) Flüssigkeit in Flüssigkeit
Was ist kein Trennverfahren?,30,Multiplikation,Destillation,Zentrifugation,Filtration
Das Trennverfahren der Extraktion beruht auf welcher Stoffeigenschaft,50,Löslichkeit,Siedetemperatur,Dichte,Schmelztemperatur
Was ist kein allgemeingültiges Kennzeichen einer chemischen Reaktion?,45,Aus zwei Ausgangsstoffen entsteht ein Endstoff,Es entstehen neue Stoffe mit neuen Eigenschaften.,Es wird Energie umgesetzt.,Sie benötigt Aktivierungsenergie.
Eine chemische Reaktion<K> bei der Energie frei wird<K> nennt man,30,exotherm,exotroph,endogen,endotherm
Stoffe<K> die bei einer chemischen Reaktion entstehen<K> nennt man,20,Produkte,Edukte,Protagonisten,Resultate
Verbindungen von Metallen mit Schwefel bezeichnet man als,25,Metallsulfide,Schwefelmetalle,Sulfurmetalle,Metallschwefel.
Was ist der Unterschied zwischen einem Element und einer Verbindung?,60,Verbindungen sind zerlegbar,Verbindungen bestehen nicht aus kleinsten Teilchen,Verbindungen sind unlöslich,Verbindungen sind keine Reinstoffe.
Wie bezeichnet man die Herstellung eines Stof- fes in der Chemie?,25,Synthese,Analyse,Autolyse,Hypothese
Ein Molekül Wasser besteht aus,30,zwei Atomen Wasserstoff und einem Atom Sauerstoff,a) Verbindungen sind unlöslich.,Verbindungen sind keine Reinstoffe,einem Atom Wasserstoff und einem Atom Sauerstoff.
Welche Aussage trifft nicht zu? Bei einer chemischen Reaktion,50,ist die Masse der Ausgangsstoffe ungleich der Masse der Endstoffe.,a) gruppieren sich die beteiligten Atome um.,entstehen Verbindungen,entstehen Elemente.
